Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
29.67,0.0264,11.4024,-1.3761,2.0032,10.0000
29.83,15.8302,11.9887,0.0000,2.6435,-3.8416
30.00,25.3551,11.5334,3.8217,4.3101,-10.0000
30.17,0.0416,11.3080,-1.2664,2.6435,10.0000
30.33,24.9359,10.7489,4.1870,4.3101,-10.0000
30.50,14.0437,10.9382,0.0000,4.8277,-3.1054
30.67,17.4647,11.3361,0.0000,5.8491,-6.1286
30.83,21.4048,10.3504,1.0544,7.5158,-10.0000
31.00,29.5891,11.0195,8.5695,9.1825,-10.0000
31.17,19.0126,10.1182,0.0000,10.6649,-8.8945
31.33,4.4813,10.9227,0.0000,9.5913,6.4414
31.50,13.8512,10.0002,0.0000,10.2331,-3.8510
31.67,19.3532,10.5308,0.0000,11.7035,-8.8223
31.83,13.8371,9.9197,0.0000,12.3564,-3.9173
32.00,0.0161,10.5291,-0.5130,10.6898,10.0000
32.17,9.6563,10.1593,0.0000,10.6059,0.5029
32.33,0.0431,9.6390,0.0000,9.0066,9.5959
32.50,25.8513,9.8058,6.0455,10.6733,-10.0000
32.67,28.3004,10.4065,7.8939,12.3399,-10.0000
32.83,0.0065,10.4503,-0.4438,10.6733,10.0000
33.00,3.9431,10.0062,0.0000,9.6628,6.0631
33.17,32.8926,9.7831,10.2169,11.3294,-10.0000
33.33,4.3505,10.3070,0.0000,10.3367,5.9565
33.50,9.2970,9.9424,0.0000,10.2291,0.6453
33.67,0.0233,10.0651,-0.0419,8.5625,10.0000
33.83,13.9282,10.2236,0.0000,9.1799,-3.7047
34.00,0.0197,10.5055,-0.4858,7.5132,10.0000
34.17,11.8264,10.2208,0.0000,7.7808,-1.6056
34.33,19.6057,10.3624,0.0000,9.3214,-9.2434
34.50,0.0000,10.1150,-0.1150,7.6547,10.0000
34.67,0.0169,10.6120,-0.5951,5.9881,10.0000
34.83,10.1917,10.0170,0.0000,6.0172,-0.1747
35.00,24.2358,10.1797,4.0562,7.6839,-10.0000
35.17,0.0501,11.2108,-1.1607,6.0172,10.0000
35.33,30.0143,11.0247,8.9753,7.6839,-10.0000
35.50,2.0590,11.1960,0.0000,6.1610,9.1370
35.67,8.9122,10.7763,0.0000,5.8503,1.8641
35.83,5.5597,11.5893,0.0000,4.8454,6.0296
36.00,8.7625,11.1737,0.0000,4.4436,2.4112
36.17,2.8196,11.5934,0.0000,2.9812,8.7739
36.33,7.0894,11.2925,0.0000,2.2807,4.2031
36.50,4.4838,11.7296,0.0000,1.0731,7.2458
36.67,25.0903,11.6573,3.4330,2.7398,-10.0000
36.83,19.9954,12.7006,0.0000,3.9556,-7.2948
37.00,14.5570,11.9884,0.0000,4.3837,-2.5686
37.17,4.1995,12.5264,0.0000,2.9959,8.3268
37.33,16.4193,13.2234,0.0000,3.5285,-3.1959
37.50,29.2444,13.4134,5.8309,5.1952,-10.0000
37.67,0.0133,12.7345,-2.7212,3.5285,10.0000
37.83,7.9812,13.1996,0.0000,2.6588,5.2184
38.00,7.4275,13.6285,0.0000,1.6253,6.2010
38.17,9.7711,13.5540,0.0000,0.9948,3.7829
