Time,Wind Turbine,Periodic Consumer,Power To Grid,Battery Storage,Power from Battery
h,kW,kW,kW,kWh,kW
20.83,0.0074,20.7012,-10.6939,7.0485,10.0000
21.00,4.4356,19.8853,-5.4497,5.3819,10.0000
21.17,15.2248,19.1774,0.0000,4.7231,3.9526
21.33,25.6080,19.7920,0.0000,5.6925,-5.8160
21.50,8.4214,20.5661,-2.1447,4.0258,10.0000
21.67,8.8220,20.6538,-1.8318,2.3591,10.0000
21.83,17.0951,20.2680,0.0000,1.8303,3.1729
22.00,7.2008,19.7473,-2.5465,0.1636,10.0000
22.17,15.9087,19.2125,-2.3219,0.0000,0.9818
22.33,9.9342,18.7599,-8.8256,0.0000,0.0000
22.50,5.7153,19.1349,-13.4196,0.0000,0.0000
22.67,0.0072,19.6543,-19.6471,0.0000,0.0000
22.83,4.3682,19.4356,-15.0673,0.0000,0.0000
23.00,23.5857,18.7020,0.0000,0.8140,-4.8838
23.17,5.3751,18.4102,-8.1513,0.0000,4.8838
23.33,24.9229,20.0952,0.0000,0.8046,-4.8276
23.50,17.8020,18.9945,0.0000,0.6059,1.1924
23.67,0.0242,19.5634,-15.9040,0.0000,3.6352
23.83,14.5182,18.6411,-4.1229,0.0000,0.0000
24.00,23.8855,18.4224,0.0000,0.9105,-5.4632
24.17,22.0765,18.2951,0.0000,1.5408,-3.7814
24.33,3.8830,17.4224,-4.2949,0.0000,9.2445
24.50,0.0000,18.5058,-18.5058,0.0000,0.0000
24.67,0.0316,17.4050,-17.3734,0.0000,0.0000
24.83,18.9661,17.5018,0.0000,0.2440,-1.4643
25.00,15.6614,18.2445,-1.1189,0.0000,1.4643
25.17,0.0185,17.2999,-17.2814,0.0000,0.0000
25.33,11.1225,17.2672,-6.1447,0.0000,0.0000
25.50,28.3929,17.2418,1.1511,1.6667,-10.0000
25.67,14.9893,16.5263,0.0000,1.4105,1.5370
25.83,0.0269,16.3068,-7.8169,0.0000,8.4630
26.00,16.1500,16.2056,-0.0556,0.0000,0.0000
26.17,17.3594,16.7043,0.0000,0.1092,-0.6550
26.33,0.0452,16.7488,-16.0486,0.0000,0.6550
26.50,27.0889,15.7736,1.3153,1.6667,-10.0000
26.67,10.0271,14.8207,0.0000,0.8677,4.7937
26.83,16.6414,14.8377,0.0000,1.1683,-1.8037
27.00,16.3486,14.3595,0.0000,1.4999,-1.9891
27.17,5.8756,15.5425,-0.6677,0.0000,8.9991
27.33,14.7824,15.2020,-0.4197,0.0000,0.0000
27.50,9.5342,14.6297,-5.0955,0.0000,0.0000
27.67,26.4446,13.7445,2.7000,1.6667,-10.0000
27.83,0.0152,13.9233,-3.9081,0.0000,10.0000
28.00,9.0883,13.9065,-4.8182,0.0000,0.0000
28.17,0.0126,12.9222,-12.9095,0.0000,0.0000
28.33,7.5605,13.2231,-5.6626,0.0000,0.0000
28.50,0.0000,12.5913,-12.5913,0.0000,0.0000
28.67,0.0510,13.3187,-13.2677,0.0000,0.0000
28.83,30.5746,12.9441,7.0559,1.6667,-10.0000
29.00,23.0133,13.2224,0.0000,3.2985,-9.7909
29.17,4.2825,12.5482,-0.0000,1.9209,8.2657
29.33,8.9855,11.6493,0.0000,1.4769,2.6638
29.50,21.8646,12.6124,0.0000,3.0189,-9.2522
29.67,0.0237,11.4024,-1.3787,1.3523,10.0000
29.83,14.2472,11.9887,0.0000,1.7287,-2.2586
30.00,24.2519,11.5334,2.7185,3.3954,-10.0000
30.17,0.0397,11.3080,-1.2683,1.7287,10.0000
30.33,23.7712,10.7489,3.0223,3.3954,-10.0000
30.50,12.3272,10.9382,0.0000,3.6269,-1.3889
30.67,15.8901,11.3361,0.0000,4.3859,-4.5541
30.83,20.0979,10.3504,0.0000,6.0104,-9.7475
31.00,29.2310,11.0195,8.2115,7.6771,-10.0000
31.17,17.4382,10.1182,0.0000,8.8971,-7.3200
31.33,3.2485,10.9227,0.0000,7.6181,7.6742
31.50,12.1347,10.0002,0.0000,7.9738,-2.1345
31.67,17.7779,10.5308,0.0000,9.1817,-7.2471
31.83,12.1232,9.9197,0.0000,9.5489,-2.2034
32.00,0.0133,10.5291,-0.5159,7.8822,10.0000
32.17,7.9424,10.1593,0.0000,7.5128,2.2168
32.33,0.0417,9.6390,0.0000,5.9132,9.5973
32.50,24.9967,9.8058,5.1909,7.5799,-10.0000
32.67,27.6249,10.4065,7.2185,9.2466,-10.0000
32.83,0.0044,10.4503,-0.4458,7.5799,10.0000
33.00,2.7123,10.0062,0.0000,6.3642,7.2939
33.17,32.3935,9.7831,10.2169,8.0309,-10.0000
33.33,3.1177,10.3070,0.0000,6.8327,7.1893
33.50,7.5831,9.9424,0.0000,6.4395,2.3592
33.67,0.0204,10.0651,-0.0447,4.7728,10.0000
33.83,12.2143,10.2236,0.0000,5.1046,-1.9908
34.00,0.0168,10.5055,-0.4887,3.4380,10.0000
34.17,10.1099,10.2208,0.0000,3.4195,0.1109
34.33,18.0333,10.3624,0.0000,4.6980,-7.6710
34.50,0.0000,10.1150,-0.1150,3.0313,10.0000
34.67,0.0141,10.6120,-0.5979,1.3646,10.0000
34.83,8.4758,10.0170,0.0000,1.1078,1.5411
35.00,23.0740,10.1797,2.8944,2.7744,-10.0000
35.17,0.0497,11.2108,-1.1611,1.1078,10.0000
35.33,29.7997,11.0247,8.7750,2.7744,-10.0000
35.50,0.0121,11.1960,-1.1839,1.1078,10.0000
35.67,7.2721,10.7763,0.0000,0.5237,3.5042
35.83,4.3271,11.5893,-4.1197,0.0000,3.1425
36.00,7.1607,11.1737,-4.0129,0.0000,0.0000
36.17,0.0098,11.5934,-11.5837,0.0000,0.0000
36.33,5.8574,11.2925,-5.4351,0.0000,0.0000
36.50,3.2519,11.7296,-8.4777,0.0000,0.0000
36.67,23.9259,11.6573,2.2686,1.6667,-10.0000
36.83,18.4202,12.7006,0.0000,2.6199,-5.7196
37.00,12.8623,11.9884,0.0000,2.7656,-0.8739
37.17,2.9670,12.5264,0.0000,1.1724,9.5594
37.33,14.8463,13.2234,0.0000,1.4428,-1.6229
37.50,28.8890,13.4134,5.4755,3.1095,-10.0000
37.67,0.0110,12.7345,-2.7235,1.4428,10.0000
37.83,6.6048,13.1996,0.0000,0.3437,6.5948
38.00,6.1947,13.6285,-5.3715,0.0000,2.0623
38.17,8.0572,13.5540,-5.4968,0.0000,0.0000
38.33,0.0437,14.5097,-14.4660,0.0000,0.0000
38.50,26.1707,14.5153,1.6554,1.6667,-10.0000
38.67,0.0000,14.8476,-4.8476,0.0000,10.0000
38.83,0.0290,14.3889,-14.3600,0.0000,0.0000
39.00,17.3710,14.1570,0.0000,0.5357,-3.2140
39.17,8.3135,15.3483,-3.8208,0.0000,3.2140
39.33,9.3518,15.9778,-6.6260,0.0000,0.0000
39.50,16.6342,15.5859,0.0000,0.1747,-1.0483
39.67,15.9938,16.2915,0.0000,0.1251,0.2976
39.83,0.0288,15.3316,-14.5521,0.0000,0.7507
40.00,17.2894,16.3880,0.0000,0.1502,-0.9014
40.17,9.1437,17.1998,-7.1546,0.0000,0.9014
40.33,20.8422,17.3845,0.0000,0.5763,-3.4577
40.50,6.7093,16.9594,-6.7923,0.0000,3.4577
40.67,15.8694,16.5095,-0.6402,0.0000,0.0000
40.83,7.5673,18.0295,-10.4622,0.0000,0.0000
41.00,15.0376,16.8250,-1.7874,0.0000,0.0000
41.17,0.0388,17.5460,-17.5072,0.0000,0.0000
41.33,23.2751,17.2681,0.0000,1.0012,-6.0070
41.50,9.7790,18.1636,-2.3776,0.0000,6.0070
41.67,0.0285,17.6607,-17.6322,0.0000,0.0000
41.83,17.0694,17.8549,-0.7854,0.0000,0.0000
42.00,0.0000,19.0938,-19.0938,0.0000,0.0000
42.17,0.0165,18.9879,-18.9714,0.0000,0.0000
42.33,9.8975,18.1880,-8.2905,0.0000,0.0000
42.50,6.0487,18.4789,-12.4302,0.0000,0.0000
42.67,17.6889,19.1588,-1.4699,0.0000,0.0000
42.83,15.5668,19.9773,-4.4106,0.0000,0.0000
43.00,14.3074,18.6142,-4.3068,0.0000,0.0000
43.17,9.6880,18.4697,-8.7817,0.0000,0.0000
43.33,26.4690,19.9377,0.0000,1.0885,-6.5312
43.50,3.9247,18.9515,-8.4956,0.0000,6.5312
43.67,20.3023,18.9035,0.0000,0.2331,-1.3988
43.83,12.7949,18.9346,-4.7408,0.0000,1.3988
44.00,0.0051,19.7054,-19.7003,0.0000,0.0000
44.17,3.0481,18.9833,-15.9352,0.0000,0.0000
44.33,0.0062,20.8796,-20.8734,0.0000,0.0000
44.50,3.7335,19.0404,-15.3069,0.0000,0.0000
44.67,11.7568,19.9672,-8.2104,0.0000,0.0000
44.83,14.9828,19.5352,-4.5523,0.0000,0.0000
45.00,12.7345,19.1580,-6.4235,0.0000,0.0000
45.17,25.7917,19.4944,0.0000,1.0495,-6.2972
45.33,0.0071,20.0757,-13.7713,0.0000,6.2972
45.50,4.2735,19.0895,-14.8160,0.0000,0.0000
45.67,0.0356,19.7407,-19.7051,0.0000,0.0000
45.83,21.3754,20.7721,0.0000,0.1005,-0.6032
46.00,20.9676,19.8393,0.0000,0.2886,-1.1283
46.17,0.0173,19.4233,-17.6744,0.0000,1.7316
46.33,10.3533,20.6384,-10.2851,0.0000,0.0000
46.50,11.8250,19.7381,-7.9131,0.0000,0.0000
46.67,15.4277,18.9932,-3.5655,0.0000,0.0000
46.83,0.0204,19.5411,-19.5207,0.0000,0.0000
47.00,12.2358,19.3751,-7.1393,0.0000,0.0000
47.17,0.0421,19.4328,-19.3907,0.0000,0.0000
47.33,25.2102,18.9202,0.0000,1.0483,-6.2900
47.50,9.6516,18.6505,-2.7089,0.0000,6.2900
47.67,9.5496,19.3037,-9.7541,0.0000,0.0000
47.83,26.0578,18.0362,0.0000,1.3369,-8.0216
48.00,21.4395,19.3375,0.0000,1.6873,-2.1020
48.17,17.6453,18.2783,0.0000,1.5818,0.6331
48.33,5.5854,18.3588,-3.2829,0.0000,9.4905
48.50,0.0097,17.3501,-17.3404,0.0000,0.0000
48.67,5.8325,17.7003,-11.8678,0.0000,0.0000
48.83,0.0346,17.3501,-17.3155,0.0000,0.0000
49.00,20.7348,17.4343,0.0000,0.5501,-3.3004
49.17,7.8033,17.3128,-6.2090,0.0000,3.3004
49.33,21.9445,16.7000,0.0000,0.8741,-5.2445
49.50,0.0128,17.5822,-12.3249,0.0000,5.2445
49.67,7.6783,16.3552,-8.6769,0.0000,0.0000
49.83,11.9090,16.9902,-5.0812,0.0000,0.0000
50.00,6.3563,15.6199,-9.2636,0.0000,0.0000
50.17,21.4724,16.4677,0.0000,0.8341,-5.0047
50.33,9.2464,16.5078,-2.2567,0.0000,5.0047
50.50,14.5077,15.6899,-1.1822,0.0000,0.0000
50.67,16.6230,15.5926,0.0000,0.1717,-1.0303
50.83,13.3105,14.8950,-0.5542,0.0000,1.0303
51.00,8.3228,15.4012,-7.0783,0.0000,0.0000
51.17,18.8882,14.6176,0.0000,0.7118,-4.2706
51.33,3.7187,15.1543,-7.1650,0.0000,4.2706
51.50,14.4991,13.8340,0.0000,0.1108,-0.6651
51.67,13.5527,14.6035,-0.3858,0.0000,0.6651
51.83,2.8100,14.3593,-11.5493,0.0000,0.0000
52.00,10.9238,13.5971,-2.6733,0.0000,0.0000
52.17,0.0333,13.3777,-13.3445,0.0000,0.0000
52.33,19.9278,12.7390,0.0000,1.1981,-7.1887
52.50,3.8717,12.9278,-1.8673,0.0000,7.1887
52.67,0.0000,12.5615,-12.5615,0.0000,0.0000
52.83,0.0438,13.0926,-13.0488,0.0000,0.0000
53.00,26.2280,12.9816,3.2463,1.6667,-10.0000
53.17,4.9598,12.9552,0.0000,0.3341,7.9953
53.33,4.5335,11.7380,-5.1998,0.0000,2.0047
53.50,23.5826,12.1930,1.3896,1.6667,-10.0000
53.67,0.0076,11.7814,-1.7738,0.0000,10.0000
53.83,4.5967,11.4853,-6.8886,0.0000,0.0000
54.00,11.2793,11.1323,0.0000,0.0245,-0.1470
54.17,27.7230,11.4440,6.2790,1.6912,-10.0000
54.33,6.6073,11.7813,0.0000,0.8288,5.1740
54.50,0.0467,10.8174,-5.7976,0.0000,4.9730
54.67,28.0198,11.2896,6.7303,1.6667,-10.0000
54.83,18.8119,10.9177,0.0000,2.9824,-7.8942
55.00,19.9836,10.3493,0.0000,4.5881,-9.6343
55.17,23.3147,10.7995,2.5152,6.2548,-10.0000
55.33,8.1075,10.8896,0.0000,5.7911,2.7821
55.50,21.0977,10.8621,0.2356,7.4577,-10.0000
55.67,3.1591,10.6132,0.0000,6.2154,7.4541
55.83,0.0194,10.7483,-0.7290,4.5487,10.0000
56.00,11.6390,9.7749,0.0000,4.8594,-1.8642
56.17,28.7981,9.8663,8.9317,6.5261,-10.0000
56.33,24.5867,10.4169,4.1698,8.1928,-10.0000
56.50,7.3889,9.6331,0.0000,7.8187,2.2441
56.67,17.2844,9.9471,0.0000,9.0416,-7.3373
56.83,21.6352,10.4076,1.2276,10.7083,-10.0000
57.00,14.2264,10.3918,0.0000,11.3474,-3.8345
57.17,21.2801,9.8301,1.4500,13.0140,-10.0000
57.33,5.8183,9.6248,0.0000,12.3796,3.8065
57.50,0.0268,10.3981,-0.3713,10.7129,10.0000
57.67,16.0327,10.1048,0.0000,11.7009,-5.9279
57.83,0.0484,9.9977,0.0000,10.0427,9.9492
58.00,29.0345,10.1836,8.8510,11.7094,-10.0000
58.17,13.1765,10.0490,0.0000,12.2306,-3.1275
58.33,10.0795,10.4901,0.0000,12.1622,0.4106
58.50,8.2523,10.1105,0.0000,11.8525,1.8582
58.67,0.0348,10.8483,-0.8136,10.1858,10.0000
58.83,20.8753,10.7716,0.1037,11.8525,-10.0000
59.00,20.7003,10.7498,0.0000,13.5109,-9.9505
59.17,6.6202,10.8585,0.0000,12.8045,4.2383
59.33,0.0000,11.1148,-1.1148,11.1379,10.0000
59.50,0.0187,10.7810,-0.7623,9.4712,10.0000
59.67,11.2559,10.8094,0.0000,9.5456,-0.4464
59.83,15.7445,11.2546,0.0000,10.2939,-4.4899
60.00,15.9937,11.2735,0.0000,11.0806,-4.7202
60.17,0.0270,12.1044,-2.0774,9.4140,10.0000
60.33,16.1995,12.0979,0.0000,10.0975,-4.1015
60.50,12.8949,12.3099,0.0000,10.1950,-0.5849
60.67,12.8625,11.7402,0.0000,10.3821,-1.1223
60.83,3.8852,12.2131,0.0000,8.9941,8.3280
61.00,30.4294,12.6472,7.3528,10.6608,-10.0000
61.17,0.0425,12.6900,-2.6476,8.9941,10.0000
61.33,25.4366,12.2796,3.1570,10.6608,-10.0000
61.50,0.0098,13.1508,-3.1410,8.9941,10.0000
61.67,5.8928,13.0487,0.0000,7.8014,7.1559
61.83,22.8132,13.5240,0.0000,9.3496,-9.2892
62.00,5.5369,13.4219,0.0000,8.0355,7.8850
62.17,16.5272,14.1002,0.0000,8.4400,-2.4269
62.33,15.3113,14.5124,0.0000,8.5731,-0.7988
62.50,0.0324,13.6692,-3.6369,6.9064,10.0000
62.67,19.4018,14.2956,0.0000,7.7574,-5.1061
62.83,6.5750,15.0166,0.0000,6.3505,8.4416
